,n_exc@0.99,n_exp@0.99,ExcRate@0.99,LR_uc@0.99,p_uc@0.99,KupiecPass@0.99,LR_ind@0.99,p_ind@0.99,LR_cc@0.99,p_cc@0.99,ChristoffersenPass@0.99,VaR_t_mean@0.99,ES_t_mean@0.99,ES_Z2@0.99,ES_p@0.99,n_exc@0.975,n_exp@0.975,ExcRate@0.975,LR_uc@0.975,p_uc@0.975,KupiecPass@0.975,LR_ind@0.975,p_ind@0.975,LR_cc@0.975,p_cc@0.975,ChristoffersenPass@0.975,VaR_t_mean@0.975,ES_t_mean@0.975,ES_Z2@0.975,ES_p@0.975
ARCH(1),0,4.31,0.0000,8.6634,0.0032,No,0.0000,1.0000,8.6634,0.0131,No,13.643310,18.052641,-1.0000,0.0280,1,10.78,0.0023,15.0212,0.0001,No,0.0047,0.9456,15.0259,0.0005,No,10.422578,14.278446,-0.9139,0.0000
ARCH-LSTM,4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.596142,8.727924,-0.0948,0.9900,11,10.78,0.0255,0.0048,0.9448,Yes,0.5776,0.4472,0.5824,0.7474,Yes,5.039012,6.903211,-0.0175,0.9340
CNN-LSTM,4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.238282,8.254409,-0.0523,0.9660,11,10.78,0.0255,0.0048,0.9448,Yes,0.5776,0.4472,0.5824,0.7474,Yes,4.765631,6.528693,0.0059,0.8920
Constant (unconditional variance),1,4.31,0.0023,3.7237,0.0536,Yes,0.0047,0.9456,3.7284,0.1550,Yes,9.673196,12.799441,-0.7214,0.1300,1,10.78,0.0023,15.0212,0.0001,No,0.0047,0.9456,15.0259,0.0005,No,7.389676,10.123512,-0.8591,0.0000
"EGARCH(1,1)",3,4.31,0.0070,0.4501,0.5023,Yes,0.0422,0.8373,0.4923,0.7818,Yes,7.681291,10.163778,-0.3736,0.4960,7,10.78,0.0162,1.5454,0.2138,Yes,0.2317,0.6303,1.7771,0.4113,Yes,5.867993,8.038877,-0.3838,0.2220
"FIGARCH(1,d,1)",5,4.31,0.0116,0.1061,0.7446,Yes,0.1176,0.7316,0.2237,0.8942,Yes,6.066842,8.027561,0.1478,0.6880,14,10.78,0.0325,0.9060,0.3412,Yes,0.5280,0.4674,1.4340,0.4882,Yes,4.634662,6.349271,0.2643,0.3620
"GARCH(1,1)",4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.294223,8.328429,-0.0535,0.9660,11,10.78,0.0255,0.0048,0.9448,Yes,0.5776,0.4472,0.5824,0.7474,Yes,4.808366,6.587238,0.0237,0.8380
"GJR-GARCH(1,1)",5,4.31,0.0116,0.1061,0.7446,Yes,0.1176,0.7316,0.2237,0.8942,Yes,6.113817,8.089719,0.2036,0.6000,12,10.78,0.0278,0.1378,0.7104,Yes,0.6891,0.4065,0.8269,0.6614,Yes,4.670548,6.398433,0.1571,0.5400
HAR,1,4.31,0.0023,3.7237,0.0536,Yes,0.0047,0.9456,3.7284,0.1550,Yes,8.123505,10.748910,-0.7043,0.1320,4,10.78,0.0093,5.7312,0.0167,No,0.0751,0.7840,5.8063,0.0548,Yes,6.205815,8.501678,-0.6145,0.0220
LSTM-Attention,4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.862477,9.080335,-0.0493,0.9600,7,10.78,0.0162,1.5454,0.2138,Yes,0.2317,0.6303,1.7771,0.4113,Yes,5.242474,7.181945,-0.3039,0.3400
LSTM-SSE,4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.415151,8.488439,-0.0732,0.9860,11,10.78,0.0255,0.0048,0.9448,Yes,0.5776,0.4472,0.5824,0.7474,Yes,4.900747,6.713795,-0.0222,0.9480
LSTM-SSE-t-Student,3,4.31,0.0070,0.4501,0.5023,Yes,0.0422,0.8373,0.4923,0.7818,Yes,7.093284,9.385736,-0.3474,0.5660,7,10.78,0.0162,1.5454,0.2138,Yes,0.2317,0.6303,1.7771,0.4113,Yes,5.418795,7.423497,-0.3768,0.2320
"MSGARCH(1,1)",3,4.31,0.0070,0.4501,0.5023,Yes,0.0422,0.8373,0.4923,0.7818,Yes,9.775912,12.935352,-0.2633,0.6900,5,10.78,0.0116,3.9511,0.0468,No,0.1176,0.7316,4.0687,0.1308,Yes,7.468144,10.231009,-0.4684,0.1160
NN-GARCH,10,4.31,0.0232,5.5292,0.0187,No,0.4762,0.4901,6.0054,0.0497,No,4.938237,6.534207,1.4488,0.0100,20,10.78,0.0464,6.4942,0.0108,No,1.0476,0.3061,7.5418,0.0230,No,3.772483,5.168126,0.9931,0.0080
TCN,4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.356779,8.411203,-0.0220,0.9320,7,10.78,0.0162,1.5454,0.2138,Yes,0.2317,0.6303,1.7771,0.4113,Yes,4.856155,6.652706,-0.2837,0.3660
Transformer,4,4.31,0.0093,0.0231,0.8793,Yes,0.0751,0.7840,0.0982,0.9521,Yes,6.686182,8.847063,-0.0949,0.9900,8,10.78,0.0186,0.8037,0.3700,Yes,0.3033,0.5818,1.1070,0.5749,Yes,5.107796,6.997443,-0.2567,0.4260
