,n_exc@0.99,n_exp@0.99,ExcRate@0.99,LR_uc@0.99,p_uc@0.99,KupiecPass@0.99,LR_ind@0.99,p_ind@0.99,LR_cc@0.99,p_cc@0.99,ChristoffersenPass@0.99,VaR_t_mean@0.99,ES_t_mean@0.99,ES_Z2@0.99,ES_p@0.99,n_exc@0.975,n_exp@0.975,ExcRate@0.975,LR_uc@0.975,p_uc@0.975,KupiecPass@0.975,LR_ind@0.975,p_ind@0.975,LR_cc@0.975,p_cc@0.975,ChristoffersenPass@0.975,VaR_t_mean@0.975,ES_t_mean@0.975,ES_Z2@0.975,ES_p@0.975
ARCH(1),1,3.16,0.0032,2.0337,0.1538,Yes,0.0064,0.9364,2.0401,0.3606,Yes,13.126830,17.369242,-0.7116,0.2300,3,7.90,0.0095,4.0680,0.0437,No,0.0577,0.8102,4.1257,0.1271,Yes,10.028022,13.737923,-0.6292,0.0460
ARCH-LSTM,11,3.16,0.0348,11.9592,0.0005,No,0.7962,0.3722,12.7554,0.0017,No,9.696966,12.830892,2.4481,0.0020,19,7.90,0.0601,11.5527,0.0007,No,2.4409,0.1182,13.9936,0.0009,No,7.407834,10.148388,1.5932,0.0000
CNN-LSTM,3,3.16,0.0095,0.0083,0.9273,Yes,0.0577,0.8102,0.0660,0.9675,Yes,9.979484,13.204716,-0.0441,0.9180,9,7.90,0.0285,0.1504,0.6981,Yes,1.3624,0.2431,1.5128,0.4694,Yes,7.623659,10.444058,0.1260,0.6800
Constant (unconditional variance),2,3.16,0.0063,0.4946,0.4819,Yes,0.0256,0.8730,0.5202,0.7710,Yes,12.148515,16.074748,-0.4240,0.5040,4,7.90,0.0127,2.4046,0.1210,Yes,0.1029,0.7484,2.5075,0.2854,Yes,9.280654,12.714064,-0.4952,0.1560
"EGARCH(1,1)",5,3.16,0.0158,0.9195,0.3376,Yes,0.1613,0.6880,1.0808,0.5825,Yes,10.307385,13.638591,0.4826,0.3820,10,7.90,0.0316,0.5288,0.4671,Yes,1.0299,0.3102,1.5587,0.4587,Yes,7.874154,10.787224,0.2734,0.4460
"FIGARCH(1,d,1)",7,3.16,0.0222,3.5021,0.0613,Yes,0.3182,0.5727,3.8203,0.1481,Yes,9.539709,12.622811,1.0006,0.1240,11,7.90,0.0348,1.1140,0.2912,Yes,0.7560,0.3846,1.8700,0.3926,Yes,7.287700,9.983810,0.4196,0.2620
"GARCH(1,1)",5,3.16,0.0158,0.9195,0.3376,Yes,0.1613,0.6880,1.0808,0.5825,Yes,10.265533,13.583212,0.4474,0.3940,9,7.90,0.0285,0.1504,0.6981,Yes,1.3624,0.2431,1.5128,0.4694,Yes,7.842182,10.743423,0.1629,0.6260
"GJR-GARCH(1,1)",5,3.16,0.0158,0.9195,0.3376,Yes,0.1613,0.6880,1.0808,0.5825,Yes,10.193573,13.487996,0.4709,0.3840,9,7.90,0.0285,0.1504,0.6981,Yes,1.3624,0.2431,1.5128,0.4694,Yes,7.787209,10.668114,0.1798,0.5980
HAR,3,3.16,0.0095,0.0083,0.9273,Yes,0.0577,0.8102,0.0660,0.9675,Yes,10.980139,14.528769,-0.1557,0.8860,8,7.90,0.0253,0.0013,0.9713,Yes,1.7646,0.1841,1.7659,0.4136,Yes,8.388093,11.491297,-0.0757,0.9040
LSTM-Attention,4,3.16,0.0127,0.2080,0.6483,Yes,0.1029,0.7484,0.3109,0.8560,Yes,9.829578,13.006362,0.2647,0.5660,10,7.90,0.0316,0.5288,0.4671,Yes,4.6286,0.0314,5.1574,0.0759,Yes,7.509141,10.287173,0.2574,0.4760
LSTM-SSE,4,3.16,0.0127,0.2080,0.6483,Yes,0.1029,0.7484,0.3109,0.8560,Yes,9.718665,12.859603,0.2026,0.6400,9,7.90,0.0285,0.1504,0.6981,Yes,1.3624,0.2431,1.5128,0.4694,Yes,7.424411,10.171097,0.1321,0.6680
LSTM-SSE-t-Student,3,3.16,0.0095,0.0083,0.9273,Yes,0.0577,0.8102,0.0660,0.9675,Yes,10.014170,13.250612,-0.1650,0.8500,9,7.90,0.0285,0.1504,0.6981,Yes,1.3624,0.2431,1.5128,0.4694,Yes,7.650157,10.480359,0.0845,0.7600
"MSGARCH(1,1)",1,3.16,0.0032,2.0337,0.1538,Yes,0.0064,0.9364,2.0401,0.3606,Yes,13.581756,17.971193,-0.7523,0.1180,5,7.90,0.0158,1.2530,0.2630,Yes,0.1613,0.6880,1.4143,0.4930,Yes,10.375555,14.214027,-0.4268,0.2300
NN-GARCH,55,3.16,0.1741,219.6722,0.0000,No,0.3708,0.5426,220.0430,0.0000,No,2.993785,3.961335,22.8222,0.0000,76,7.90,0.2405,224.2113,0.0000,No,0.9292,0.3351,225.1405,0.0000,No,2.287052,3.133154,13.3257,0.0000
TCN,6,3.16,0.0190,2.0401,0.1532,Yes,0.2330,0.6293,2.2731,0.3209,Yes,8.967161,11.865225,0.9035,0.1580,12,7.90,0.0380,1.8879,0.1694,Yes,3.2582,0.0711,5.1461,0.0763,Yes,6.850313,9.384609,0.6042,0.1140
Transformer,6,3.16,0.0190,2.0401,0.1532,Yes,0.2330,0.6293,2.2731,0.3209,Yes,8.646631,11.441103,0.8798,0.1660,14,7.90,0.0443,3.9430,0.0471,No,2.2155,0.1366,6.1585,0.0460,No,6.605449,9.049157,0.7800,0.0580
