,n_exc@0.99,n_exp@0.99,ExcRate@0.99,LR_uc@0.99,p_uc@0.99,KupiecPass@0.99,LR_ind@0.99,p_ind@0.99,LR_cc@0.99,p_cc@0.99,ChristoffersenPass@0.99,VaR_t_mean@0.99,ES_t_mean@0.99,ES_Z2@0.99,ES_p@0.99,n_exc@0.975,n_exp@0.975,ExcRate@0.975,LR_uc@0.975,p_uc@0.975,KupiecPass@0.975,LR_ind@0.975,p_ind@0.975,LR_cc@0.975,p_cc@0.975,ChristoffersenPass@0.975,VaR_t_mean@0.975,ES_t_mean@0.975,ES_Z2@0.975,ES_p@0.975
ARCH(1),0,2.79,0.0000,5.6081,0.0179,No,0.0000,1.0000,5.6081,0.0606,Yes,2.614487,3.459453,-1.0000,0.1300,6,6.98,0.0215,0.1466,0.7018,Yes,0.2647,0.6069,0.4113,0.8141,Yes,1.997293,2.736199,-0.3264,0.4300
ARCH-LSTM,0,2.79,0.0000,5.6081,0.0179,No,0.0000,1.0000,5.6081,0.0606,Yes,2.258675,2.988648,-1.0000,0.1300,9,6.98,0.0323,0.5532,0.4570,Yes,0.6023,0.4377,1.1555,0.5611,Yes,1.725477,2.363823,0.0588,0.8280
CNN-LSTM,4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,1.985421,2.627081,0.2042,0.6920,11,6.98,0.0394,2.0322,0.1540,Yes,0.9066,0.3410,2.9388,0.2301,Yes,1.516729,2.077848,0.4374,0.2900
Constant (unconditional variance),0,2.79,0.0000,5.6081,0.0179,No,0.0000,1.0000,5.6081,0.0606,Yes,2.981945,3.945669,-1.0000,0.1300,0,6.98,0.0000,14.1273,0.0002,No,0.0000,1.0000,14.1273,0.0009,No,2.278007,3.120764,-1.0000,0.0020
"EGARCH(1,1)",2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.198567,2.909114,-0.2380,0.8200,8,6.98,0.0287,0.1476,0.7008,Yes,0.4741,0.4911,0.6217,0.7328,Yes,1.679558,2.300917,0.1010,0.7320
"FIGARCH(1,d,1)",4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,2.044778,2.705623,0.3664,0.4980,11,6.98,0.0394,2.0322,0.1540,Yes,0.9066,0.3410,2.9388,0.2301,Yes,1.562074,2.139969,0.4912,0.2200
"GARCH(1,1)",3,2.79,0.0108,0.0156,0.9007,Yes,0.0655,0.7981,0.0811,0.9603,Yes,2.146180,2.839796,0.0200,0.8920,9,6.98,0.0323,0.5532,0.4570,Yes,0.6023,0.4377,1.1555,0.5611,Yes,1.639538,2.246091,0.2100,0.5560
GARCH-LSTM,2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.190888,2.898953,-0.4337,0.4620,7,6.98,0.0251,0.0001,0.9924,Yes,0.3617,0.5476,0.3618,0.8345,Yes,1.673692,2.292880,-0.1050,0.8260
"GJR-GARCH(1,1)",4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,2.078467,2.750199,0.2787,0.5920,8,6.98,0.0287,0.1476,0.7008,Yes,0.4741,0.4911,0.6217,0.7328,Yes,1.587810,2.175226,0.1189,0.6980
HAR,2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.272233,3.006587,-0.4293,0.4640,6,6.98,0.0215,0.1466,0.7018,Yes,0.2647,0.6069,0.4113,0.8141,Yes,1.735834,2.378012,-0.2105,0.6460
LSTM-Attention,0,2.79,0.0000,5.6081,0.0179,No,0.0000,1.0000,5.6081,0.0606,Yes,2.422314,3.205172,-1.0000,0.1300,4,6.98,0.0143,1.5341,0.2155,Yes,0.1168,0.7325,1.6509,0.4380,Yes,1.850486,2.535080,-0.5411,0.1320
LSTM-SSE,2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.063563,2.730479,-0.3889,0.5640,11,6.98,0.0394,2.0322,0.1540,Yes,0.9066,0.3410,2.9388,0.2301,Yes,1.576425,2.159628,0.3825,0.3340
"MSGARCH(1,1)",5,2.79,0.0179,1.4317,0.2315,Yes,0.1832,0.6687,1.6149,0.4460,Yes,2.511744,3.323505,0.4990,0.4100,11,6.98,0.0394,2.0322,0.1540,Yes,0.9066,0.3410,2.9388,0.2301,Yes,1.918804,2.628673,0.4474,0.2800
NN-GARCH,1,2.79,0.0036,1.5395,0.2147,Yes,0.0072,0.9323,1.5467,0.4615,Yes,2.039303,2.698378,-0.7113,0.2140,11,6.98,0.0394,2.0322,0.1540,Yes,0.9066,0.3410,2.9388,0.2301,Yes,1.557892,2.134239,0.3427,0.3640
TCN,2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.171377,2.873136,-0.3985,0.5440,8,6.98,0.0287,0.1476,0.7008,Yes,0.4741,0.4911,0.6217,0.7328,Yes,1.658787,2.272461,-0.0120,0.9800
Transformer,1,2.79,0.0036,1.5395,0.2147,Yes,0.0072,0.9323,1.5467,0.4615,Yes,2.124161,2.810661,-0.7140,0.1940,9,6.98,0.0323,0.5532,0.4570,Yes,0.6023,0.4377,1.1555,0.5611,Yes,1.622717,2.223047,0.0806,0.7940
