Series,Level,Model,n_exc,n_exp,CoverageRate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,ES_Z2,ES_p
BTC-USD,0.99,ARCH(1),0,4.3100,0.0000,8.6634,0.0032,0.0000,1.0000,8.6634,0.0131,-1.0000,0.0280
ETH-USD,0.99,ARCH(1),1,3.1600,0.0032,2.0337,0.1538,0.0064,0.9364,2.0401,0.3606,-0.7116,0.2300
DJIA,0.99,ARCH(1),0,2.7900,0.0000,5.6081,0.0179,0.0000,1.0000,5.6081,0.0606,-1.0000,0.1300
SP500,0.99,ARCH(1),2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.3686,0.6400
GOLD,0.99,ARCH(1),17,2.7900,0.0609,33.7678,0.0000,2.2161,0.1366,35.9839,0.0000,6.5067,0.0000
OIL,0.99,ARCH(1),7,2.7900,0.0251,4.5227,0.0334,0.3617,0.5476,4.8844,0.0870,2.2313,0.0040
Combined (Fisher),0.99,ARCH(1),—,—,—,—,0.0006,—,0.9346,—,0.0180,—,0.0036
BTC-USD,0.99,ARCH-LSTM,2,4.3100,0.0046,1.5613,0.2115,0.0187,0.8913,1.5800,0.4538,-0.5038,0.3380
ETH-USD,0.99,ARCH-LSTM,3,3.1600,0.0095,0.0083,0.9273,0.0577,0.8102,0.0660,0.9675,-0.0879,0.9800
DJIA,0.99,ARCH-LSTM,0,2.7900,0.0000,5.6081,0.0179,0.0000,1.0000,5.6081,0.0606,-1.0000,0.1300
SP500,0.99,ARCH-LSTM,3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,-0.0367,0.9740
GOLD,0.99,ARCH-LSTM,16,2.7900,0.0573,30.1116,0.0000,0.0075,0.9311,30.1191,0.0000,5.9487,0.0000
OIL,0.99,ARCH-LSTM,8,2.7900,0.0287,6.5333,0.0106,0.4741,0.4911,7.0074,0.0301,3.0991,0.0000
Combined (Fisher),0.99,ARCH-LSTM,—,—,—,—,0.0240,—,0.9975,—,0.1580,—,0.6089
BTC-USD,0.99,CNN-LSTM,4,4.3100,0.0093,0.0231,0.8793,0.0751,0.7840,0.0982,0.9521,-0.0523,0.9660
ETH-USD,0.99,CNN-LSTM,3,3.1600,0.0095,0.0083,0.9273,0.0577,0.8102,0.0660,0.9675,-0.0441,0.9180
DJIA,0.99,CNN-LSTM,4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.2042,0.6920
SP500,0.99,CNN-LSTM,3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.0253,0.8860
GOLD,0.99,CNN-LSTM,15,2.7900,0.0538,26.5881,0.0000,1.7120,0.1907,28.3001,0.0000,5.3212,0.0000
OIL,0.99,CNN-LSTM,8,2.7900,0.0287,6.5333,0.0106,1.5580,0.2120,8.0913,0.0175,2.2874,0.0020
Combined (Fisher),0.99,CNN-LSTM,—,—,—,—,0.3482,—,0.7533,—,0.5397,—,0.1897
BTC-USD,0.99,Constant (unconditional variance),1,4.3100,0.0023,3.7237,0.0536,0.0047,0.9456,3.7284,0.1550,-0.7214,0.1300
ETH-USD,0.99,Constant (unconditional variance),2,3.1600,0.0063,0.4946,0.4819,0.0256,0.8730,0.5202,0.7710,-0.4240,0.5040
DJIA,0.99,Constant (unconditional variance),0,2.7900,0.0000,5.6081,0.0179,0.0000,1.0000,5.6081,0.0606,-1.0000,0.1300
SP500,0.99,Constant (unconditional variance),0,2.7900,0.0000,5.6081,0.0179,0.0000,1.0000,5.6081,0.0606,-1.0000,0.1300
GOLD,0.99,Constant (unconditional variance),20,2.7900,0.0717,45.4629,0.0000,3.1039,0.0781,48.5668,0.0000,7.8287,0.0000
OIL,0.99,Constant (unconditional variance),7,2.7900,0.0251,4.5227,0.0334,0.3617,0.5476,4.8844,0.0870,1.8090,0.0140
Combined (Fisher),0.99,Constant (unconditional variance),—,—,—,—,0.0008,—,0.8776,—,0.0261,—,0.0144
BTC-USD,0.99,"EGARCH(1,1)",3,4.3100,0.0070,0.4501,0.5023,0.0422,0.8373,0.4923,0.7818,-0.3736,0.4960
ETH-USD,0.99,"EGARCH(1,1)",5,3.1600,0.0158,0.9195,0.3376,0.1613,0.6880,1.0808,0.5825,0.4826,0.3820
DJIA,0.99,"EGARCH(1,1)",2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.2380,0.8200
SP500,0.99,"EGARCH(1,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.7863,0.2240
GOLD,0.99,"EGARCH(1,1)",5,2.7900,0.0179,1.4317,0.2315,0.1832,0.6687,1.6149,0.4460,1.3801,0.0500
OIL,0.99,"EGARCH(1,1)",6,2.7900,0.0215,2.8061,0.0939,0.2647,0.6069,3.0708,0.2154,0.9971,0.1480
Combined (Fisher),0.99,"EGARCH(1,1)",—,—,—,—,0.3281,—,0.9865,—,0.8494,—,0.1682
BTC-USD,0.99,"FIGARCH(1,d,1)",5,4.3100,0.0116,0.1061,0.7446,0.1176,0.7316,0.2237,0.8942,0.1478,0.6880
ETH-USD,0.99,"FIGARCH(1,d,1)",7,3.1600,0.0222,3.5021,0.0613,0.3182,0.5727,3.8203,0.1481,1.0006,0.1240
DJIA,0.99,"FIGARCH(1,d,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.3664,0.4980
SP500,0.99,"FIGARCH(1,d,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.8369,0.1980
GOLD,0.99,"FIGARCH(1,d,1)",5,2.7900,0.0179,1.4317,0.2315,0.1832,0.6687,1.6149,0.4460,1.4336,0.0420
OIL,0.99,"FIGARCH(1,d,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.2439,0.6420
Combined (Fisher),0.99,"FIGARCH(1,d,1)",—,—,—,—,0.3456,—,0.9748,—,0.8293,—,0.1580
BTC-USD,0.99,"GARCH(1,1)",4,4.3100,0.0093,0.0231,0.8793,0.0751,0.7840,0.0982,0.9521,-0.0535,0.9660
ETH-USD,0.99,"GARCH(1,1)",5,3.1600,0.0158,0.9195,0.3376,0.1613,0.6880,1.0808,0.5825,0.4474,0.3940
DJIA,0.99,"GARCH(1,1)",3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.0200,0.8920
SP500,0.99,"GARCH(1,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.8536,0.1980
GOLD,0.99,"GARCH(1,1)",5,2.7900,0.0179,1.4317,0.2315,0.1832,0.6687,1.6149,0.4460,1.3441,0.0640
OIL,0.99,"GARCH(1,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.3352,0.5340
Combined (Fisher),0.99,"GARCH(1,1)",—,—,—,—,0.7545,—,0.9877,—,0.9826,—,0.4336
BTC-USD,0.99,GARCH-LSTM,3,4.3100,0.0070,0.4501,0.5023,0.0422,0.8373,0.4923,0.7818,-0.3077,0.6300
ETH-USD,0.99,GARCH-LSTM,3,3.1600,0.0095,0.0083,0.9273,0.0577,0.8102,0.0660,0.9675,-0.1049,0.9820
DJIA,0.99,GARCH-LSTM,2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.4337,0.4620
SP500,0.99,GARCH-LSTM,3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.1247,0.7800
GOLD,0.99,GARCH-LSTM,10,2.7900,0.0358,11.3007,0.0008,0.7464,0.3876,12.0471,0.0024,3.0735,0.0000
OIL,0.99,GARCH-LSTM,6,2.7900,0.0215,2.8061,0.0939,0.2647,0.6069,3.0708,0.2154,1.5490,0.0280
Combined (Fisher),0.99,GARCH-LSTM,—,—,—,—,0.0411,—,0.9748,—,0.1888,—,0.4272
BTC-USD,0.99,"GJR-GARCH(1,1)",5,4.3100,0.0116,0.1061,0.7446,0.1176,0.7316,0.2237,0.8942,0.2036,0.6000
ETH-USD,0.99,"GJR-GARCH(1,1)",5,3.1600,0.0158,0.9195,0.3376,0.1613,0.6880,1.0808,0.5825,0.4709,0.3840
DJIA,0.99,"GJR-GARCH(1,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.2787,0.5920
SP500,0.99,"GJR-GARCH(1,1)",4,2.7900,0.0143,0.4673,0.4942,0.1168,0.7325,0.5841,0.7467,0.7697,0.2260
GOLD,0.99,"GJR-GARCH(1,1)",6,2.7900,0.0215,2.8061,0.0939,0.2647,0.6069,3.0708,0.2154,1.4833,0.0360
OIL,0.99,"GJR-GARCH(1,1)",6,2.7900,0.0215,2.8061,0.0939,0.2647,0.6069,3.0708,0.2154,1.1768,0.0900
Combined (Fisher),0.99,"GJR-GARCH(1,1)",—,—,—,—,0.2391,—,0.9696,—,0.7355,—,0.1034
BTC-USD,0.99,HAR,1,4.3100,0.0023,3.7237,0.0536,0.0047,0.9456,3.7284,0.1550,-0.7043,0.1320
ETH-USD,0.99,HAR,3,3.1600,0.0095,0.0083,0.9273,0.0577,0.8102,0.0660,0.9675,-0.1557,0.8860
DJIA,0.99,HAR,2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.4293,0.4640
SP500,0.99,HAR,3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.2096,0.6860
GOLD,0.99,HAR,7,2.7900,0.0251,4.5227,0.0334,0.3617,0.5476,4.8844,0.0870,2.0740,0.0060
OIL,0.99,HAR,5,2.7900,0.0179,1.4317,0.2315,0.1832,0.6687,1.6149,0.4460,0.6379,0.3080
Combined (Fisher),0.99,HAR,—,—,—,—,0.1532,—,0.9932,—,0.5588,—,0.0845
BTC-USD,0.99,LSTM-Attention,4,4.3100,0.0093,0.0231,0.8793,0.0751,0.7840,0.0982,0.9521,-0.0493,0.9600
ETH-USD,0.99,LSTM-Attention,4,3.1600,0.0127,0.2080,0.6483,0.1029,0.7484,0.3109,0.8560,0.2647,0.5660
DJIA,0.99,LSTM-Attention,0,2.7900,0.0000,5.6081,0.0179,0.0000,1.0000,5.6081,0.0606,-1.0000,0.1300
SP500,0.99,LSTM-Attention,2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.3449,0.6860
GOLD,0.99,LSTM-Attention,12,2.7900,0.0430,16.9033,0.0000,1.0831,0.2980,17.9864,0.0001,3.8913,0.0000
OIL,0.99,LSTM-Attention,8,2.7900,0.0287,6.5333,0.0106,1.5580,0.2120,8.0913,0.0175,2.4147,0.0020
Combined (Fisher),0.99,LSTM-Attention,—,—,—,—,0.0374,—,0.8654,—,0.0010,—,0.0473
BTC-USD,0.99,LSTM-SSE,4,4.3100,0.0093,0.0231,0.8793,0.0751,0.7840,0.0982,0.9521,-0.0732,0.9860
ETH-USD,0.99,LSTM-SSE,4,3.1600,0.0127,0.2080,0.6483,0.1029,0.7484,0.3109,0.8560,0.2026,0.6400
DJIA,0.99,LSTM-SSE,2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.3889,0.5640
SP500,0.99,LSTM-SSE,3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.1681,0.7340
GOLD,0.99,LSTM-SSE,11,2.7900,0.0394,14.0073,0.0002,0.9066,0.3410,14.9139,0.0006,3.5953,0.0000
OIL,0.99,LSTM-SSE,6,2.7900,0.0215,2.8061,0.0939,0.2647,0.6069,3.0708,0.2154,1.5595,0.0260
Combined (Fisher),0.99,LSTM-SSE,—,—,—,—,0.0199,—,0.9594,—,0.0966,—,0.4419
BTC-USD,0.99,"MSGARCH(1,1)",3,4.3100,0.0070,0.4501,0.5023,0.0422,0.8373,0.4923,0.7818,-0.2633,0.6900
ETH-USD,0.99,"MSGARCH(1,1)",1,3.1600,0.0032,2.0337,0.1538,0.0064,0.9364,2.0401,0.3606,-0.7523,0.1180
DJIA,0.99,"MSGARCH(1,1)",5,2.7900,0.0179,1.4317,0.2315,0.1832,0.6687,1.6149,0.4460,0.4990,0.4100
SP500,0.99,"MSGARCH(1,1)",3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.0830,0.8080
GOLD,0.99,"MSGARCH(1,1)",17,2.7900,0.0609,33.7678,0.0000,2.2161,0.1366,35.9839,0.0000,6.3153,0.0000
OIL,0.99,"MSGARCH(1,1)",11,2.7900,0.0394,14.0073,0.0002,0.5969,0.4398,14.6042,0.0007,3.4884,0.0000
Combined (Fisher),0.99,"MSGARCH(1,1)",—,—,—,—,0.0048,—,0.8325,—,0.0435,—,0.5125
BTC-USD,0.99,NN-GARCH,10,4.3100,0.0232,5.5292,0.0187,0.4762,0.4901,6.0054,0.0497,1.4488,0.0100
ETH-USD,0.99,NN-GARCH,55,3.1600,0.1741,219.6722,0.0000,0.3708,0.5426,220.0430,0.0000,22.8222,0.0000
DJIA,0.99,NN-GARCH,1,2.7900,0.0036,1.5395,0.2147,0.0072,0.9323,1.5467,0.4615,-0.7113,0.2140
SP500,0.99,NN-GARCH,3,2.7900,0.0108,0.0156,0.9007,0.0655,0.7981,0.0811,0.9603,0.0067,0.9060
GOLD,0.99,NN-GARCH,13,2.7900,0.0466,19.9737,0.0000,1.2760,0.2586,21.2497,0.0000,4.9369,0.0000
OIL,0.99,NN-GARCH,32,2.7900,0.1147,100.9245,0.0000,1.6362,0.2008,102.5607,0.0000,15.0789,0.0000
Combined (Fisher),0.99,NN-GARCH,—,—,—,—,0.0811,—,0.6895,—,0.2664,—,0.0519
BTC-USD,0.99,TCN,4,4.3100,0.0093,0.0231,0.8793,0.0751,0.7840,0.0982,0.9521,-0.0220,0.9320
ETH-USD,0.99,TCN,6,3.1600,0.0190,2.0401,0.1532,0.2330,0.6293,2.2731,0.3209,0.9035,0.1580
DJIA,0.99,TCN,2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.3985,0.5440
SP500,0.99,TCN,2,2.7900,0.0072,0.2507,0.6166,0.0290,0.8648,0.2797,0.8695,-0.3358,0.6960
GOLD,0.99,TCN,15,2.7900,0.0538,26.5881,0.0000,1.7120,0.1907,28.3001,0.0000,5.1309,0.0000
OIL,0.99,TCN,9,2.7900,0.0323,8.8020,0.0030,0.6023,0.4377,9.4043,0.0091,2.5086,0.0020
Combined (Fisher),0.99,TCN,—,—,—,—,0.0628,—,0.8602,—,0.2636,—,0.0516
BTC-USD,0.99,Transformer,4,4.3100,0.0093,0.0231,0.8793,0.0751,0.7840,0.0982,0.9521,-0.0949,0.9900
ETH-USD,0.99,Transformer,6,3.1600,0.0190,2.0401,0.1532,0.2330,0.6293,2.2731,0.3209,0.8798,0.1660
DJIA,0.99,Transformer,1,2.7900,0.0036,1.5395,0.2147,0.0072,0.9323,1.5467,0.4615,-0.7140,0.1940
