,MSE,RMSE,MAE,R2,QLIKE,LL_t_OOS,Delta_MSE,MCS_90,DEGENERATE
Panel A,,,,,,,,,
ARCH(1),818.89242,28.61630,24.75100,-2.7991,3.45952,-2.5062,+280.41\%,No,DEGENERATE
"GARCH(1,1)",215.26829,14.67202,6.47578,0.0013,2.49608,-2.1186,—,Yes,ok
"EGARCH(1,1)",243.67336,15.61004,8.62748,-0.1305,2.63797,-2.1697,+13.20\%,No,ok
"GJR-GARCH(1,1)",216.62581,14.71821,6.27771,-0.0050,2.50597,-2.1201,+0.63\%,Yes,ok
"FIGARCH(1,d,1)",213.12243,14.59871,6.23551,0.0113,\textbf{2.47969},\textbf{-2.1143},-1.00\%,Yes,ok
"MSGARCH(1,1)",554.97635,23.55794,15.13029,-1.5747,3.01790,-2.3215,+157.81\%,No,—
HAR,225.18016,15.00600,8.82689,-0.0447,2.72945,-2.2003,+4.60\%,No,ok
Panel B,,,,,,,,,
NN-GARCH,211.71027 ± 9.42455,14.55027,\textbf{4.95624 ± 1.38496},0.0178,2.57342,-2.1258,-1.65\%,Yes,ok
LSTM-SSE,206.14789 ± 2.26414,14.35785,6.30726 ± 0.08167,0.0436,2.51405,-2.1230,-4.24\%,Yes,ok
CNN-LSTM,\textbf{201.13178 ± 1.06856},\textbf{14.18209},6.07584 ± 0.07151,\textbf{0.0669},2.49542,-2.1169,-6.57\%,Yes,ok
LSTM-Attention,211.84175 ± 3.01144,14.55478,6.90861 ± 0.22621,0.0172,2.58664,-2.1436,-1.59\%,No,ok
TCN,214.19608 ± 2.78736,14.63544,6.24727 ± 0.52342,0.0063,2.55319,-2.1302,-0.50\%,Yes,ok
Transformer,206.36639 ± 1.99887,14.36546,6.58889 ± 0.19324,0.0426,2.55027,-2.1344,-4.14\%,Yes,ok
Panel C,,,,,,,,,
LSTM-SSE-t-Student,215.77670 ± 2.26390,14.68934,7.16665 ± 0.03966,-0.0011,2.60840,-2.1556,+0.24\%,No,ok
ARCH-LSTM,209.86864 ± 0.00273,14.48684,6.83378 ± 0.00008,0.0264,2.54824,-2.1440,-2.51\%,Yes,ok
Panel D,,,,,,,,,
Constant (unconditional variance),295.02741,17.17636,12.14717,-0.3687,2.97546,-2.2963,+37.05\%,No,—
