Parameter,BTC-USD,ETH-USD,DJIA,SP500,GOLD,OIL
Panel A: Parameters,,,,,,
ω (omega),0.1600,0.3901,0.0219,0.0179,0.0094,0.2089
α₁ (alpha[1]),0.1065,0.1000,0.1686,0.1703,0.0279,0.1105
β₁ (beta[1]),0.8935,0.9000,0.8235,0.8297,0.9624,0.8585
ν (nu),3.1688,3.3496,5.5344,5.6055,4.2536,6.4803
Panel B: Persistence,,,,,,
α₁+β₁,1.0000,1.0000,0.9922,1.0000,0.9903,0.9690
Half-life (days),—,—,88.0900,—,70.8700,21.9900
Stationary (α+β<1),False,False,True,False,True,True
Unconditional σ² = ω/(1−α−β),—,—,2.7998,—,0.9654,6.7329
Panel C: In-sample fit,,,,,,
LL (in-sample),-8616.4170,-7050.7330,-2727.0681,-2813.1074,-2762.6453,-4986.9627
AIC,17242.8339,14111.4660,5464.1362,5636.2148,5535.2907,9983.9255
BIC,17273.5544,14140.6340,5492.6805,5664.7591,5563.8350,10012.4675
N (obs),3443.0000,2524.0000,2228.0000,2228.0000,2228.0000,2227.0000
Panel D: Diagnostics,,,,,,
Convergence flag,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hessian PD,—,—,—,—,—,—
