,MSE,RMSE,MAE,R2,QLIKE,LL_t_OOS,Delta_MSE,MCS_90,DEGENERATE
Panel A,,,,,,,,,
ARCH(1),1.52674,1.23561,0.91270,-0.4999,0.61887,-1.1870,+38.55\%,Yes,DEGENERATE
"GARCH(1,1)",1.10194,1.04973,0.71119,-0.0826,0.54932,-1.1756,—,Yes,ok
"EGARCH(1,1)",1.10436,1.05089,0.72305,-0.0850,0.56111,-1.1745,+0.22\%,Yes,ok
"GJR-GARCH(1,1)",\textbf{1.03542},\textbf{1.01755},\textbf{0.66871},\textbf{-0.0172},\textbf{0.50494},\textbf{-1.1595},-6.04\%,Yes,ok
"FIGARCH(1,d,1)",1.09695,1.04735,0.68225,-0.0777,0.56333,-1.1814,-0.45\%,Yes,ok
HAR,1.13325,1.06454,0.74960,-0.1133,0.54099,-1.1710,+2.84\%,Yes,ok
Panel B,,,,,,,,,
Panel C,,,,,,,,,
LSTM-SSE-t-Student,1.20262 ± 0.06448,1.09664,0.88396 ± 0.04619,-0.1815,0.62194,-1.1889,+9.14\%,Yes,DEGENERATE
Panel D,,,,,,,,,
Constant (unconditional variance),1.51004,1.22884,1.07183,-0.4835,0.73318,-1.2249,+37.03\%,No,—
