,BTC-USD,BTC-USD,ETH-USD,ETH-USD,DJIA,DJIA,SP500,SP500,GOLD,GOLD,OIL,OIL
,Δ%MSE,Δ%MAE,Δ%MSE,Δ%MAE,Δ%MSE,Δ%MAE,Δ%MSE,Δ%MAE,Δ%MSE,Δ%MAE,Δ%MSE,Δ%MAE
ARCH(1),\textbf{+280.41},\textbf{+282.21},+19.91,+36.96,+38.55,+28.33,+51.30,+43.75,+4.66,-11.20,+14.80,+4.44
Constant (unconditional variance),\textbf{+37.05},\textbf{+87.58},+7.90,+21.79,\textbf{+37.03},\textbf{+50.71},\textbf{+34.59},\textbf{+60.15},\textbf{+5.12},\textbf{-11.47},+8.44,+7.06
"EGARCH(1,1)",+13.20,+33.23,-0.57,+0.37,+0.22,+1.67,+0.38,+2.65,+0.18,-4.35,+0.42,-3.83
"FIGARCH(1,d,1)",-1.00,-3.71,-4.03,-8.23,-0.45,-4.07,-1.69,-3.92,-0.60,-4.24,+1.80,+8.73
"GARCH(1,1)",—,—,—,—,—,—,—,—,—,—,—,—
"GJR-GARCH(1,1)",+0.63,-3.06,-0.01,-0.76,-6.04,-5.97,-3.58,-1.83,-0.74,-1.77,+5.95,+2.82
HAR,+4.60,+36.31,-2.21,+5.54,+2.84,+5.40,+5.70,+8.01,+0.61,-1.06,+2.01,+2.89
LSTM-SSE-t-Student,+2.18,+6.01,-1.98,-5.75,+5.81,+20.12,+23.09,+48.41,+4.52,-11.32,+12.06,-11.56
