,MSE,RMSE,MAE,R2,QLIKE,LL_t_OOS,Delta_MSE,MCS_90,DEGENERATE
Panel A,,,,,,,,,
ARCH(1),100.89405,10.04460,2.73544,-0.0408,3.07154,-2.0072,+4.66\%,No,ok
"GARCH(1,1)",96.39808,9.81825,3.08041,0.0056,2.03612,-1.8272,—,Yes,ok
"EGARCH(1,1)",96.57420,9.82722,2.94646,0.0038,2.03828,-1.8250,+0.18\%,Yes,ok
"GJR-GARCH(1,1)",\textbf{95.68792},\textbf{9.78202},3.02597,\textbf{0.0129},\textbf{1.95526},\textbf{-1.8182},-0.74\%,Yes,ok
"FIGARCH(1,d,1)",95.82440,9.78899,2.94993,0.0115,1.99978,-1.8217,-0.60\%,Yes,ok
HAR,96.98643,9.84817,3.04774,-0.0005,2.05596,-1.8414,+0.61\%,Yes,ok
Panel B,,,,,,,,,
Panel C,,,,,,,,,
LSTM-SSE-t-Student,100.54697 ± 1.22365,10.02731,2.72988 ± 0.03130,-0.0372,2.87353,-1.9826,+4.30\%,No,ok
Panel D,,,,,,,,,
Constant (unconditional variance),101.33255,10.06641,\textbf{2.72721},-0.0453,3.32587,-2.0489,+5.12\%,No,—
