,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,DJIA,DJIA,DJIA,SP500,SP500,SP500,GOLD,GOLD,GOLD,OIL,OIL,OIL
,DM,p(Holm),TOST p,DM,p(Holm),TOST p,DM,p(Holm),TOST p,DM,p(Holm),TOST p,DM,p(Holm),TOST p,DM,p(Holm),TOST p
ARCH(1),14.866***,0.000,1.000,5.399***,0.000,1.000,3.461***,0.007,0.999,3.989***,0.001,1.000,1.915,0.444,0.967,1.725,0.454,0.899
ARCH-LSTM,5.366***,0.000,0.990,3.491***,0.005,0.603,0.219,1.000,0.381,1.517,1.000,0.871,1.575,0.747,0.935,1.900,0.454,0.951
CNN-LSTM,-3.465***,0.005,0.647,2.156,0.279,0.237,0.546,1.000,0.533,0.276,1.000,0.408,2.524,0.146,0.989,1.621,0.454,0.798
Constant (unconditional variance),10.984***,0.000,1.000,4.409***,0.000,0.998,3.963***,0.001,1.000,3.399***,0.009,0.999,2.136,0.359,0.981,2.174,0.386,0.934
"EGARCH(1,1)",2.668*,0.069,0.870,1.969,0.391,0.419,1.053,1.000,0.761,1.152,1.000,0.821,-0.823,1.000,0.654,-1.911,0.454,0.882
"FIGARCH(1,d,1)",-2.337,0.136,0.762,0.698,0.904,0.029\textsuperscript{eq},0.999,1.000,0.756,0.613,1.000,0.666,-1.613,0.747,0.854,-1.972,0.454,0.915
"GARCH(1,1)",-2.012,0.265,0.578,1.803,0.420,0.235,0.759,1.000,0.648,0.883,1.000,0.758,-0.842,1.000,0.662,-2.165,0.386,0.932
"GJR-GARCH(1,1)",-1.371,0.681,0.447,1.855,0.420,0.270,-0.678,1.000,0.635,0.040,1.000,0.438,-2.009,0.401,0.934,-0.312,1.000,0.405
HAR,7.825***,0.000,1.000,3.595***,0.004,0.734,1.503,1.000,0.617,1.728,1.000,0.804,-1.026,1.000,0.634,-2.001,0.454,0.908
LSTM-Attention,1.667,0.477,0.243,1.881,0.420,0.534,1.207,1.000,0.795,1.683,1.000,0.916,1.240,1.000,0.774,1.786,0.454,0.881
LSTM-SSE,-2.646*,0.069,0.188,1.726,0.420,0.035\textsuperscript{eq},-0.665,1.000,0.504,-0.312,1.000,0.370,0.499,1.000,0.509,0.733,1.000,0.038\textsuperscript{eq}
"MSGARCH(1,1)",6.712***,0.000,1.000,5.624***,0.000,1.000,3.910***,0.001,1.000,3.788***,0.002,1.000,2.595,0.132,0.993,4.652***,0.000,1.000
NN-GARCH,0.177,1.000,0.411,5.036***,0.000,1.000,0.117,1.000,0.403,0.828,1.000,0.719,2.536,0.146,0.988,4.665***,0.000,1.000
TCN,0.041,1.000,0.132,1.177,0.717,0.422,-0.741,1.000,0.664,1.058,1.000,0.765,3.275**,0.016,0.997,2.078,0.415,0.910
Transformer,-0.114,1.000,0.000\textsuperscript{eq},0.752,0.904,0.186,-0.978,1.000,0.672,1.157,1.000,0.778,2.126,0.359,0.948,-0.020,1.000,0.089
