Parameter,ARCH(1),"GARCH(1,1)","EGARCH(1,1)","GJR-GARCH(1,1)","FIGARCH(1,d,1)",HAR,"MSGARCH(1,1)"
omega,23.2913,0.1600,0.0971,0.1256,0.2803,—,—
alpha[1],1.0000,0.1065,0.2729,0.1159,—,—,—
gamma[1],—,—,—,-0.0379,—,—,—
beta[1],—,0.8935,0.9876,0.9030,—,—,—
phi[1],—,—,—,—,—,—,—
d,—,—,—,—,0.7185,—,—
const,—,—,—,—,—,7.6838,—
beta_d,—,—,—,—,—,0.0855,—
beta_w,—,—,—,—,—,0.0754,—
beta_m,—,—,—,—,—,0.2789,—
alpha0_1,—,—,—,—,—,—,—
alpha1_1,—,—,—,—,—,—,—
beta_1,—,—,—,—,—,—,—
nu_1,—,—,—,—,—,—,—
alpha0_2,—,—,—,—,—,—,—
alpha1_2,—,—,—,—,—,—,—
beta_2,—,—,—,—,—,—,—
nu_2,—,—,—,—,—,—,—
P_1_1,—,—,—,—,—,—,—
P_2_1,—,—,—,—,—,—,—
nu,2.2725,3.1688,2.6342,3.2015,3.2299,—,—
LL_insample,-8799.3683,-8616.4170,-8589.6172,-8613.7130,-8615.9941,-18234.5854,—
AIC,17606.7366,17242.8339,17189.2345,17239.4259,17243.9881,36477.1708,—
BIC,17631.3130,17273.5544,17219.9550,17276.2905,17280.8527,36501.7216,—
convergence,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,—
hess_pd,—,—,—,—,—,—,—
n_obs,3443.0000,3443.0000,3443.0000,3443.0000,3443.0000,3421.0000,—
