Parameter,ARCH(1),"GARCH(1,1)","EGARCH(1,1)","GJR-GARCH(1,1)","FIGARCH(1,d,1)",HAR,"MSGARCH(1,1)"
omega,21.6366,0.3901,0.0762,0.3644,0.9192,—,—
alpha[1],0.3411,0.1000,0.1903,0.1018,—,—,—
gamma[1],—,—,—,-0.0101,—,—,—
beta[1],—,0.9000,0.9834,0.9032,—,—,—
phi[1],—,—,—,—,—,—,—
d,—,—,—,—,0.4541,—,—
const,—,—,—,—,—,12.9412,—
beta_d,—,—,—,—,—,0.0408,—
beta_w,—,—,—,—,—,0.1712,—
beta_m,—,—,—,—,—,0.1895,—
alpha0_1,—,—,—,—,—,—,0.0000
alpha1_1,—,—,—,—,—,—,0.1524
beta_1,—,—,—,—,—,—,0.8007
nu_1,—,—,—,—,—,—,4.3936
alpha0_2,—,—,—,—,—,—,0.0346
alpha1_2,—,—,—,—,—,—,0.0068
beta_2,—,—,—,—,—,—,0.9928
nu_2,—,—,—,—,—,—,4.3936
P_1_1,—,—,—,—,—,—,0.5852
P_2_1,—,—,—,—,—,—,0.4608
nu,2.8522,3.3496,3.2889,3.3668,3.5912,—,—
LL_insample,-7139.8355,-7050.7330,-7037.8502,-7050.6217,-7044.2991,-14444.5370,-7024.1955
AIC,14287.6711,14111.4660,14085.7005,14113.2434,14100.5982,28897.0739,14068.3910
BIC,14311.0055,14140.6340,14114.8685,14148.2450,14135.5998,28920.3733,14126.7270
convergence,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hess_pd,—,—,—,—,—,—,—
n_obs,2524.0000,2524.0000,2524.0000,2524.0000,2524.0000,2502.0000,2524.0000
