series,window,temporal_cv,mse_model,mse_constant,mse_ratio,cross_seed_mse_relstd,degenerate,n_seeds,elapsed_seconds,mean_nu
BTC-USD,2,0.1960515036412936,219.4046196506815,295.027406,0.7436753846884364,0.013183476231360272,False,3,928.4,5.0434800783793134
BTC-USD,3,0.20900701146432715,216.02625134110454,295.027406,0.7322243525440635,0.01392458234469424,False,3,935.9,5.062216599782308
BTC-USD,5,0.20376179944341669,210.626978420908,295.027406,0.7139234326620761,0.010005247544249668,False,3,944.7,5.085924784342448
BTC-USD,10,0.1198093720515373,222.43652633932965,295.027406,0.7539520797580739,0.016716795403311585,False,3,429.2,5.078054745992024
DJIA,2,0.037335891800489754,1.1770608192212308,1.51004,0.7794898275682968,0.013075102866838257,True,3,40.0,5.002993265787761
DJIA,3,0.03817199570579847,1.1809986833892812,1.51004,0.7820976155527543,0.021100947941840337,True,3,38.1,5.00322151184082
DJIA,5,0.03760712567191657,1.1994066194693471,1.51004,0.7942879787749643,0.019814007497009685,True,3,40.2,5.002971331278483
DJIA,10,0.03928153213178506,1.2120330779636495,1.51004,0.8026496503163157,0.021564169703112486,True,3,42.2,5.002449989318848
ETH-USD,2,0.3260721512640473,858.2984307117803,852.795855,1.0064523950011228,0.01396004530415594,True,3,629.3,4.960256576538086
ETH-USD,3,0.35611888290731153,832.8732629150124,852.795855,0.9766384979849749,0.021891525206946805,False,3,671.1,4.994841575622559
ETH-USD,5,0.30638327396091886,769.6098449949261,852.795855,0.9024549550547782,0.028637927507927905,False,3,654.8,5.042563438415527
ETH-USD,10,0.13345148882346344,769.9621636576034,852.795855,0.9028680887028976,0.015493799342998634,False,3,488.1,5.0715006192525225
GOLD,2,0.061116989268029887,100.84421119546975,101.332549,0.9951808396280425,0.006858021779630218,False,3,372.9,5.327211221059163
GOLD,3,0.06164200213489808,100.85323222243508,101.332549,0.9952698636095207,0.006705176060155031,False,3,376.8,5.327202479044597
GOLD,5,0.06200006070562676,100.9511109344844,101.332549,0.9962357794284283,0.005845027285980488,False,3,382.1,5.327207883199056
GOLD,10,0.028410156122007334,101.30745127724444,101.332549,0.9997523231873348,0.00039604723473660495,True,3,574.4,5.4893798828125
OIL,2,0.6362094478491186,817.2897491934453,820.466878,0.9961276574451131,0.0018599497114086482,False,3,183.1,5.175505797068278
OIL,3,0.8701826043317071,809.9904245859407,820.466878,0.9872311074401967,0.003637070068799858,False,3,86.6,5.022316296895345
OIL,5,0.8407927716014326,797.5393709295959,820.466878,0.9720555360792955,0.003062541170494919,False,3,82.2,5.011335531870524
OIL,10,0.722290303743912,787.7554593418466,820.466878,0.9601307261325505,0.004285585266077986,False,3,85.9,5.004709243774414
SP500,2,0.01109194841696481,1.4346597972524202,1.785698,0.8034168136226956,0.002772389234535553,True,3,545.0,5.427395661671956
SP500,3,0.010370205390852094,1.4334853064869229,1.785698,0.8027590927956031,0.0012393996250932206,True,3,546.8,5.4273481369018555
SP500,5,0.011081116981853897,1.4304276512857714,1.785698,0.8010467902667592,0.0016475091048854741,True,3,555.3,5.4273788134257
SP500,10,0.01342373175654332,1.430967264177083,1.785698,0.8013489762418298,0.001973902953198908,True,3,575.5,5.427343209584554
